placeDcid,placeName,Date:Median_Income_Household,Value:Median_Income_Household,Source:Median_Income_Household
zip/10461,10461,2022,64444,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/10462,10462,2022,63431,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/10463,10463,2022,66780,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/10464,10464,2022,129109,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/10465,10465,2022,85946,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/10466,10466,2022,60892,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/10467,10467,2022,46228,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/10468,10468,2022,43985,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/10469,10469,2022,76731,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/10470,10470,2022,75750,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/10471,10471,2022,111418,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/10472,10472,2022,40025,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/10473,10473,2022,51379,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/10474,10474,2022,40795,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/10475,10475,2022,57003,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/11004,11004,2022,112311,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/11005,11005,2022,81328,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/11101,11101,2022,109625,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/11102,11102,2022,103409,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/11103,11103,2022,88116,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/11104,11104,2022,83493,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/11105,11105,2022,97233,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/11106,11106,2022,81729,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/11109,11109,2022,173939,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/11201,11201,2022,163310,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/11203,11203,2022,68006,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/11204,11204,2022,64172,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/11205,11205,2022,74839,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/11206,11206,2022,51507,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/11207,11207,2022,52569,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/11208,11208,2022,56298,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/11209,11209,2022,88546,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/11210,11210,2022,82904,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/11211,11211,2022,94824,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/11212,11212,2022,35840,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/11213,11213,2022,54211,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/11214,11214,2022,60152,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/11215,11215,2022,173899,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/11216,11216,2022,92684,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/11217,11217,2022,152735,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/11218,11218,2022,87759,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/11219,11219,2022,51194,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/11220,11220,2022,62804,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/11221,11221,2022,77600,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/11222,11222,2022,126250,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/11223,11223,2022,61356,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/11224,11224,2022,40467,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/11225,11225,2022,82716,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/11226,11226,2022,75947,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/11228,11228,2022,83980,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/11229,11229,2022,72799,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/11230,11230,2022,65051,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/11231,11231,2022,130396,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/11232,11232,2022,79599,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/11233,11233,2022,57812,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/11234,11234,2022,91379,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/11235,11235,2022,61320,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/11236,11236,2022,79885,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/11237,11237,2022,79136,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/11238,11238,2022,125747,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/11239,11239,2022,38670,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/11354,11354,2022,56854,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/11355,11355,2022,52658,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/11356,11356,2022,86717,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/11357,11357,2022,95987,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
